,Axis1,Axis2,Axis3,waist_vm_15,waist_vm_60,waist_cpm,waist_vm_cpm,waist_ee,waist_intensity
5252,0,4,25,25.317977802344327,101.27191120937731,0,151,0.0,1
5253,36,0,32,48.16637831516918,192.66551326067673,144,151,0.15731611209842788,1
5254,11,0,24,26.40075756488817,105.60303025955268,44,151,0.04806881203007519,1
5255,0,0,52,52.0,208.0,0,151,0.0,1
5256,11,0,2,11.180339887498949,44.721359549995796,44,52,0.04806881203007519,1
5257,18,0,3,18.24828759089466,72.99315036357864,72,52,0.07865805604921394,1
5258,0,0,0,0.0,0.0,0,52,0.0,1
5259,0,5,23,23.53720459187964,94.14881836751856,0,52,0.0,1
5260,0,0,0,0.0,0.0,0,17,0.0,1
5261,0,0,0,0.0,0.0,0,17,0.0,1
5262,0,0,17,17.0,68.0,0,17,0.0,1
5263,0,0,0,0.0,0.0,0,17,0.0,1
5264,8,0,65,65.49045732013177,261.96182928052707,32,115,0.034959136021872866,1
5265,0,0,3,3.0,12.0,0,115,0.0,1
5266,10,4,44,45.2990066116245,181.196026446498,40,115,0.04369892002734108,1
5267,0,0,2,2.0,8.0,0,115,0.0,1
5268,0,0,3,3.0,12.0,0,33,0.0,1
5269,0,0,0,0.0,0.0,0,33,0.0,1
5270,0,0,12,12.0,48.0,0,33,0.0,1
5271,2,0,18,18.110770276274835,72.44308110509934,8,33,0.008739784005468217,1
5272,0,0,17,17.0,68.0,0,35,0.0,1
5273,0,0,2,2.0,8.0,0,35,0.0,1
5274,0,0,0,0.0,0.0,0,35,0.0,1
5275,0,0,16,16.0,64.0,0,35,0.0,1
5276,26,0,60,65.39113089708727,261.56452358834906,104,148,0.11361719207108681,1
5277,4,0,50,50.15974481593781,200.63897926375125,16,148,0.017479568010936433,1
5278,0,4,20,20.396078054371138,81.58431221748455,0,148,0.0,1
5279,4,0,12,12.649110640673518,50.59644256269407,16,148,0.017479568010936433,1
5280,5,0,47,47.265209192385896,189.06083676954358,20,125,0.02184946001367054,1
5281,4,0,6,7.211102550927978,28.844410203711913,16,125,0.017479568010936433,1
5282,3,0,15,15.297058540778355,61.18823416311342,12,125,0.013109676008202321,1
5283,18,2,53,56.00892785976178,224.03571143904713,72,125,0.07865805604921394,1
5284,5,0,22,22.561028345356956,90.24411338142782,20,113,0.02184946001367054,1
5285,3,0,11,11.40175425099138,45.60701700396552,12,113,0.013109676008202321,1
5286,27,7,75,80.01874780324921,320.07499121299685,108,113,0.11798708407382093,1
5287,0,0,0,0.0,0.0,0,113,0.0,1
5288,0,0,9,9.0,36.0,0,14,0.0,1
5289,0,0,0,0.0,0.0,0,14,0.0,1
5290,0,0,0,0.0,0.0,0,14,0.0,1
5291,0,0,5,5.0,20.0,0,14,0.0,1
5292,0,0,0,0.0,0.0,0,137,0.0,1
5293,0,0,0,0.0,0.0,0,137,0.0,1
5294,0,0,7,7.0,28.0,0,137,0.0,1
5295,34,12,125,130.09611831257686,520.3844732503075,136,137,0.14857632809295968,1
5296,0,0,32,32.0,128.0,0,246,0.0,1
5297,0,0,31,31.0,124.0,0,246,0.0,1
5298,18,0,126,127.27922061357856,509.11688245431424,72,246,0.07865805604921394,1
5299,7,0,56,56.43580423808985,225.7432169523594,28,246,0.030589244019138755,1
5300,0,0,0,0.0,0.0,0,31,0.0,1
5301,16,0,22,27.202941017470888,108.81176406988355,64,31,0.06991827204374573,1
5302,3,3,0,4.242640687119285,16.97056274847714,12,31,0.013109676008202321,1
5303,0,0,0,0.0,0.0,0,31,0.0,1
5304,0,0,0,0.0,0.0,0,108,0.0,1
5305,4,0,20,20.396078054371138,81.58431221748455,16,108,0.017479568010936433,1
5306,0,0,13,13.0,52.0,0,108,0.0,1
5307,2,1,75,75.03332592921628,300.1333037168651,8,108,0.008739784005468217,1
5308,0,0,52,52.0,208.0,0,192,0.0,1
5309,0,32,3,32.14031735997639,128.56126943990557,0,192,0.0,1
5310,17,3,42,45.40925015897091,181.63700063588365,68,192,0.07428816404647984,1
5311,6,1,63,63.29296959378664,253.17187837514655,24,192,0.026219352016404643,1
5312,23,7,61,65.56675987114203,262.2670394845681,92,142,0.1005075160628845,1
5313,5,0,11,12.083045973594572,48.33218389437829,20,142,0.02184946001367054,1
5314,7,0,15,16.55294535724685,66.2117814289874,28,142,0.030589244019138755,1
5315,19,0,44,47.92702786528704,191.70811146114815,76,142,0.08302794805194805,1
5316,12,6,74,75.20638270785267,300.8255308314107,48,193,0.052438704032809286,1
5317,10,5,71,71.87489130426563,287.4995652170625,40,193,0.04369892002734108,1
5318,0,0,12,12.0,48.0,0,193,0.0,1
5319,3,0,34,34.132096331752024,136.5283853270081,12,193,0.013109676008202321,1
5320,0,0,8,8.0,32.0,0,242,0.0,1
5321,2,0,19,19.1049731745428,76.4198926981712,8,242,0.008739784005468217,1
5322,65,76,68,120.93386622447825,483.735464897913,260,242,0.28404298017771695,1
5323,18,6,93,94.91575211733824,379.663008469353,72,242,0.07865805604921394,1
5324,7,0,88,88.2779700718135,353.111880287254,28,447,0.030589244019138755,1
5325,83,91,223,254.75282137789955,1019.0112855115982,332,447,0.36270103622693095,1
5326,0,10,0,10.0,40.0,0,447,0.0,1
5327,17,0,93,94.54099639838793,378.16398559355173,68,447,0.07428816404647984,1
5328,0,0,3,3.0,12.0,0,231,0.0,1
5329,5,0,92,92.13576938409967,368.5430775363987,20,231,0.02184946001367054,1
5330,7,0,114,114.21471008587291,456.85884034349164,28,231,0.030589244019138755,1
5331,0,0,22,22.0,88.0,0,231,0.0,1
5332,6,0,91,91.19758768739445,364.7903507495778,24,389,0.026219352016404643,1
5333,3,2,82,82.0792300158816,328.3169200635264,12,389,0.013109676008202321,1
5334,17,6,143,144.13188405068465,576.5275362027386,68,389,0.07428816404647984,1
5335,17,13,69,72.24264668462804,288.97058673851217,68,389,0.07428816404647984,1
5336,0,0,20,20.0,80.0,0,217,0.0,1
5337,5,0,41,41.30375285612676,165.21501142450705,20,217,0.02184946001367054,1
5338,0,0,67,67.0,268.0,0,217,0.0,1
5339,27,9,85,89.63816151617569,358.55264606470274,108,217,0.11798708407382093,1
5340,8,4,51,51.778373863998475,207.1134954559939,32,246,0.034959136021872866,1
5341,0,0,105,105.0,420.0,0,246,0.0,1
5342,0,0,71,71.0,284.0,0,246,0.0,1
5343,1,0,19,19.026297590440446,76.10519036176179,4,246,0.004369892002734108,1
5344,32,10,187,189.98157805429452,759.9263122171781,128,738,0.13983654408749147,1
5345,77,25,383,391.46264189574975,1565.850567582999,308,738,0.3364816842105263,1
5346,12,6,77,78.16009211867653,312.6403684747061,48,738,0.052438704032809286,1
5347,0,0,79,79.0,316.0,0,738,0.0,1
5348,6,9,0,10.816653826391969,43.266615305567875,24,168,0.026219352016404643,1
5349,17,1,70,72.04165461731151,288.16661846924603,68,168,0.07428816404647984,1
5350,18,14,66,69.82836100038436,279.31344400153745,72,168,0.07865805604921394,1
5351,0,0,16,16.0,64.0,0,168,0.0,1
5352,2,0,2,2.8284271247461903,11.313708498984761,8,111,0.008739784005468217,1
5353,0,0,16,16.0,64.0,0,111,0.0,1
5354,2,0,28,28.071337695236398,112.28535078094559,8,111,0.008739784005468217,1
5355,1,0,65,65.00769185258002,260.0307674103201,4,111,0.004369892002734108,1
5356,4,0,42,42.190046219457976,168.7601848778319,16,208,0.017479568010936433,1
5357,41,26,38,61.652250567193406,246.60900226877362,164,208,0.1791655721120984,1
5358,23,18,41,50.33885179461288,201.35540717845151,92,208,0.1005075160628845,1
5359,4,6,54,54.47935388750494,217.91741555001977,16,208,0.017479568010936433,1
5360,20,4,175,176.18456232031227,704.7382492812491,80,533,0.08739784005468217,1
5361,17,6,194,194.8358283273382,779.3433133093528,68,533,0.07428816404647984,1
