	Participant	Activity	OC_METs	TimeSec	Mean_AGhipX	Var_AGhipX	Mean_AGhipY	Var_AGhipY	Mean_AGhipZ	Var_AGhipZ
102	1	Test	1	3090	0.948	0.002209	0.026000000000000002	0.018496000000000002	-0.355	0.006241
103	1	Test	1	3120	0.917	0.022801	0.214	0.024336	-0.364	0.018225
104	1	Test	1	3150	0.893	0.047524000000000004	0.205	0.036481	-0.439	0.020163999999999998
105	1	Test	1	3180	0.893	0.026244	0.215	0.033124	-0.435	0.012544
106	1	Test	1	3210	0.8859999999999999	0.006889	0.184	0.013456000000000001	-0.452	0.008836
107	1	Test	1	3240	0.893	0.002025	0.19	0.005476	-0.439	0.003721
108	1	Test	1	3270	0.903	0.008464	0.207	0.0144	-0.39399999999999996	0.015875999999999998
109	1	Test	1	3300	0.914	0.010404	0.19399999999999998	0.012544	-0.37799999999999995	0.0196
110	1	Test	1	3330	0.9209999999999999	0.004225	0.24600000000000002	0.005476	-0.301	0.018496000000000002
111	1	Test	1	3360	0.912	0.005929	0.179	0.007396	-0.406	0.0081
112	1	Test	1	3390	0.9059999999999999	0.010816	0.17600000000000002	0.014641	-0.42700000000000005	0.01
113	1	Test	1	3420	0.8859999999999999	0.006561	0.251	0.018769	-0.39799999999999996	0.007568999999999999
114	1	Test	1	3450	0.888	0.008281	0.252	0.020449000000000002	-0.38799999999999996	0.008648999999999999
115	1	Test	1	3480	0.905	0.007056000000000001	0.168	0.01	-0.425	0.009216
116	1	Test	1	3510	0.9059999999999999	0.016641	0.17800000000000002	0.015128999999999998	-0.42	0.013688999999999998
117	1	Test	1	3540	0.9059999999999999	0.011664	0.2	0.015875999999999998	-0.39799999999999996	0.016641
118	1	Test	1	3570	0.9059999999999999	0.021904	0.21600000000000003	0.021315999999999998	-0.39399999999999996	0.0121
119	1	Test	1	3600	0.9129999999999999	0.0050409999999999995	0.153	0.010609	-0.40399999999999997	0.009801
120	1	Test	1	3630	0.909	0.01	0.196	0.017161000000000003	-0.389	0.017956
121	1	Test	1	3660	0.907	0.012768999999999999	0.217	0.010816	-0.386	0.013225
122	1	Test	1	3690	0.904	0.0039689999999999994	0.239	0.012996	-0.313	0.040804
123	1	Test	1	3720	0.89	0.002704	0.248	0.018225	-0.33299999999999996	0.0324
124	1	Test	1	3750	0.909	0.003249	0.191	0.016641	-0.305	0.05475599999999999
125	1	Test	1	3780	0.945	0.001521	0.081	0.003721	-0.373	0.004225
126	1	Test	1	3810	0.919	0.009801	0.209	0.015128999999999998	-0.32299999999999995	0.028224000000000003
127	1	Test	1	3840	0.914	0.015128999999999998	0.20800000000000002	0.019321	-0.358	0.022801
128	1	Test	1	3870	0.92	0.0289	0.19399999999999998	0.0256	-0.371	0.014641
129	1	Test	1	3900	0.894	0.020163999999999998	0.278	0.030976	-0.311	0.031684
130	1	Test	1	3930	0.878	0.0064	0.36200000000000004	0.022201	-0.213	0.042025
131	1	Test	1	3960	0.889	0.049283999999999994	0.21	0.048841	-0.43700000000000006	0.022801
132	1	Test	1	3990	0.899	0.036481	0.183	0.0256	-0.434	0.010816
133	1	Test	1	4020	0.9179999999999999	0.0009	0.174	0.0009609999999999999	-0.39799999999999996	0.001521
134	1	Test	1	4050	0.92	0.0039689999999999994	0.154	0.0038439999999999998	-0.39799999999999996	0.0043560000000000005
135	1	Test	1	4080	0.9179999999999999	0.0009	0.106	0.0038439999999999998	-0.42700000000000005	0.0036
136	1	Test	1	4110	0.922	0.007056000000000001	0.2	0.011664	-0.355	0.0081
137	1	Test	1	4140	0.897	0.05664400000000001	0.21899999999999997	0.051529	-0.424	0.019044
138	1	Test	1	4170	0.887	0.059536	0.21100000000000002	0.052440999999999995	-0.446	0.021609
139	1	Test	1	4200	0.909	0.016128999999999998	0.21899999999999997	0.045369	-0.263	0.047524000000000004
140	1	Test	1	4230	0.8740000000000001	0.0025	-0.16399999999999998	0.007744	-0.48	0.034595999999999995
141	1	Test	1	4260	0.8059999999999999	0.021025	-0.099	0.009801	-0.5770000000000001	0.0441
142	1	Test	1	4290	0.865	0.009025	-0.08199999999999999	0.005929	-0.516	0.031329
143	1	Test	1	4320	0.894	0.005184	-0.115	0.013456000000000001	-0.484	0.016128999999999998
144	1	Test	1	4350	0.8420000000000001	0.0064	-0.156	0.010201	-0.5720000000000001	0.013924
145	1	Test	1	4380	0.815	0.006723999999999999	-0.14	0.007921	-0.614	0.007921
146	1	Test	1	4410	0.767	0.0196	-0.10400000000000001	0.021025	-0.6559999999999999	0.030625
147	1	Test	1	4440	0.8690000000000001	0.029584	-0.133	0.020163999999999998	-0.494	0.045795999999999996
148	1	Test	1	4470	0.862	0.016641	-0.14	0.015375999999999999	-0.528	0.024336
149	1	Test	1	4500	0.878	0.017424000000000002	-0.10400000000000001	0.020449000000000002	-0.518	0.020736
150	1	Test	1	4530	0.861	0.016128999999999998	-0.174	0.011664	-0.519	0.0324
151	1	Test	1	4560	0.843	0.016128999999999998	-0.141	0.015625	-0.5710000000000001	0.0196
152	1	Test	1	4590	0.8170000000000001	0.008281	-0.23	0.006084	-0.5920000000000001	0.0121
153	1	Test	1	4620	0.758	0.0196	-0.113	0.017956	-0.667	0.020449000000000002
154	1	Test	1	4650	0.763	0.020163999999999998	-0.062	0.0144	-0.665	0.018496000000000002
155	1	Test	1	4680	0.883	0.022201	0.22699999999999998	0.055696	-0.317	0.055225
156	1	Test	1	4710	0.904	0.023409	0.272	0.020449000000000002	-0.341	0.013456000000000001
157	1	Test	1	4740	0.8690000000000001	0.031684	0.34299999999999997	0.039204	-0.239	0.048841
